# time [s],mass_flux
0.000000000000000000e+00 1.110982393551561609e-05
6.000000000000000000e+02 1.081371870732192049e-05
1.200000000000000000e+03 9.952657764170747562e-06
1.800000000000000000e+03 8.601289312767254627e-06
2.400000000000000000e+03 6.889033711798530592e-06
3.000000000000000000e+03 4.985004202918480513e-06
3.600000000000000000e+03 3.096468965644451774e-06
4.200000000000000000e+03 1.446739115510745160e-06
4.800000000000000000e+03 2.330969420573827110e-07
5.400000000000000000e+03 -3.334665647242529912e-07
6.000000000000000000e+03 -2.058612552371561671e-07
6.600000000000000000e+03 7.306676092340497613e-08
7.200000000000000000e+03 1.505163178176901984e-07
7.800000000000000000e+03 2.044069325192200033e-07
8.400000000000000000e+03 2.418272520437741595e-07
9.000000000000000000e+03 2.717771119654177309e-07
9.600000000000000000e+03 2.909370466501734521e-07
1.020000000000000000e+04 3.044226841254158448e-07
1.080000000000000000e+04 3.040468122143993938e-07
1.140000000000000000e+04 2.948545766310808909e-07
1.200000000000000000e+04 2.735653543568366787e-07
1.260000000000000000e+04 2.454416833713261382e-07
1.320000000000000000e+04 2.044991111761110299e-07
1.380000000000000000e+04 1.614536093557423190e-07
1.440000000000000000e+04 1.138553335644332552e-07
1.500000000000000000e+04 6.685626981048404101e-08
1.560000000000000000e+04 3.160414932177781852e-08
1.620000000000000000e+04 1.294176924047777745e-08
1.680000000000000000e+04 2.381125259588050991e-08
1.740000000000000000e+04 1.442520956966773769e-08
1.800000000000000000e+04 5.707603048847634586e-09
1.860000000000000000e+04 -2.779390836753215152e-10
1.920000000000000000e+04 -2.866576900858451436e-09
1.980000000000000000e+04 -8.855482499004324847e-09
2.040000000000000000e+04 -1.257972703714599279e-08
2.100000000000000000e+04 -1.580684326771785240e-08
2.160000000000000000e+04 -1.719924160227056606e-08
2.220000000000000000e+04 -2.006166202321615999e-08
2.280000000000000000e+04 -2.043304673592600420e-08
2.340000000000000000e+04 -2.152773120720729378e-08
2.400000000000000000e+04 -2.388282403633261436e-08
2.460000000000000000e+04 -2.815888089574190017e-08
2.520000000000000000e+04 -2.719657796465683866e-08
2.580000000000000000e+04 -3.052592344617499220e-08
2.640000000000000000e+04 -3.086526029169893222e-08
2.700000000000000000e+04 -3.104772342188949757e-08
2.760000000000000000e+04 -3.017069449806471785e-08
2.820000000000000000e+04 -2.926053352369046097e-08
2.880000000000000000e+04 -3.210951820887605456e-08
2.940000000000000000e+04 -3.187431303730775998e-08
3.000000000000000000e+04 -3.263027038151741207e-08
3.060000000000000000e+04 -3.502583622077449832e-08
3.120000000000000000e+04 -3.555877921336984935e-08
3.180000000000000000e+04 -3.398428269237507316e-08
3.240000000000000000e+04 -3.644776711202519448e-08
3.300000000000000000e+04 -3.841106842051243900e-08
3.360000000000000000e+04 -3.660697043357804899e-08
3.420000000000000000e+04 -3.516121045185804427e-08
3.480000000000000000e+04 -3.599023665943661887e-08
3.540000000000000000e+04 -3.687481721895566326e-08
3.600000000000000000e+04 -3.579328517350792611e-08
3.660000000000000000e+04 -3.924783184130687634e-08
3.720000000000000000e+04 -3.964244974292949387e-08
3.780000000000000000e+04 -3.982626870444726049e-08
3.840000000000000000e+04 -4.068844927244229863e-08
3.900000000000000000e+04 -4.135348365022737468e-08
3.960000000000000000e+04 -4.234779768792672303e-08
4.020000000000000000e+04 -4.123844321296969974e-08
4.080000000000000000e+04 -4.128870366217157460e-08
4.140000000000000000e+04 -4.133107060235699556e-08
4.200000000000000000e+04 -3.845009990916375228e-08
4.260000000000000000e+04 -3.476050196145377665e-08
4.320000000000000000e+04 -3.346721354453176267e-08
4.380000000000000000e+04 -3.229273106568566500e-08
4.440000000000000000e+04 -3.017843691274917194e-08
4.500000000000000000e+04 -3.059341508612557354e-08
4.560000000000000000e+04 -3.307338871991205474e-08
4.620000000000000000e+04 -3.395784138235593757e-08
4.680000000000000000e+04 -3.070577191882975637e-08
4.740000000000000000e+04 -3.768844839390922800e-08
4.800000000000000000e+04 -3.996407550432997515e-08
4.860000000000000000e+04 -3.899773124709134252e-08
4.920000000000000000e+04 -4.124393421493596767e-08
4.980000000000000000e+04 -4.131651569672393940e-08
5.040000000000000000e+04 -4.107737213163302013e-08
5.100000000000000000e+04 -3.943174406769204396e-08
5.160000000000000000e+04 -3.642401323955159469e-08
5.220000000000000000e+04 -3.454968940860662759e-08
5.280000000000000000e+04 -3.341770080015690536e-08
5.340000000000000000e+04 -3.259152431967596376e-08
5.400000000000000000e+04 -3.493642662897700006e-08
5.460000000000000000e+04 -3.289115890052922275e-08
5.520000000000000000e+04 -2.997817401524945977e-08
5.580000000000000000e+04 -2.940589538479390421e-08
5.640000000000000000e+04 -2.861774903328153051e-08
5.700000000000000000e+04 -2.928835603763524708e-08
5.760000000000000000e+04 -3.229098351996244316e-08
5.820000000000000000e+04 -3.392457139590587955e-08
5.880000000000000000e+04 -3.676012760110822409e-08
5.940000000000000000e+04 -3.184419496964660387e-08
6.000000000000000000e+04 -2.550922485833397705e-08
6.060000000000000000e+04 -2.847299360529795372e-08
6.120000000000000000e+04 -3.033468631597969766e-08
6.180000000000000000e+04 -3.206379155222889177e-08
6.240000000000000000e+04 -2.837887937571018226e-08
6.300000000000000000e+04 -2.568618299340503253e-08
6.360000000000000000e+04 -3.014062213070022479e-08
6.420000000000000000e+04 -3.136639149065027346e-08
6.480000000000000000e+04 -3.229775192995001407e-08
6.540000000000000000e+04 -3.272629727443188217e-08
6.600000000000000000e+04 -3.047586035016683774e-08
6.660000000000000000e+04 -3.163689571509324254e-08
6.720000000000000000e+04 -2.963565960461543505e-08
6.780000000000000000e+04 -2.576041149365374547e-08
6.840000000000000000e+04 -1.991680755611149455e-08
6.900000000000000000e+04 -1.527547946417361830e-08
6.960000000000000000e+04 -1.296858482799031808e-08
7.020000000000000000e+04 -1.164108510422548554e-08
7.080000000000000000e+04 -1.056934966344076678e-08
7.140000000000000000e+04 -1.407750069609739335e-08
7.200000000000000000e+04 -2.250377529071002756e-08
7.260000000000000000e+04 -1.740073674356927895e-08
7.320000000000000000e+04 -1.782653987271811961e-08
7.380000000000000000e+04 -2.207035778823878871e-08
7.440000000000000000e+04 -2.832675575465969388e-08
7.500000000000000000e+04 -2.779716507739071736e-08
7.560000000000000000e+04 -1.735574237864937053e-08
7.620000000000000000e+04 -9.142009959807896173e-09
7.680000000000000000e+04 -5.421010862427522283e-22
