# time [s],mass_flux
0.000000000000000000e+00 1.896057537304723280e-05
6.000000000000000000e+01 1.860481029133250903e-05
1.200000000000000000e+02 1.753831685575528416e-05
1.800000000000000000e+02 1.584268950801345470e-05
2.400000000000000000e+02 1.366859270238097497e-05
3.000000000000000000e+02 1.124515970693447012e-05
3.600000000000000000e+02 8.809836189719244269e-06
4.200000000000000000e+02 6.641488432180032014e-06
4.800000000000000000e+02 4.980965440538187194e-06
5.400000000000000000e+02 4.099674762751066270e-06
6.000000000000000000e+02 3.771703837810509390e-06
6.600000000000000000e+02 3.730061736696848693e-06
7.200000000000000000e+02 3.701428618293333533e-06
7.800000000000000000e+02 3.538359612135081747e-06
8.400000000000000000e+02 3.434372479928229850e-06
9.000000000000000000e+02 3.337683822197309768e-06
9.600000000000000000e+02 3.242567057958579056e-06
1.020000000000000000e+03 3.139267190403335857e-06
1.080000000000000000e+03 3.052665154423419516e-06
1.140000000000000000e+03 2.966254118984272704e-06
1.200000000000000000e+03 2.856511160590363673e-06
1.260000000000000000e+03 2.714831723143526154e-06
1.320000000000000000e+03 2.578387372993444807e-06
1.380000000000000000e+03 2.461448189628671298e-06
1.440000000000000000e+03 2.368292336585214206e-06
1.500000000000000000e+03 2.291730831781311388e-06
1.560000000000000000e+03 2.202989634068587015e-06
1.620000000000000000e+03 2.099924869389106084e-06
1.680000000000000000e+03 2.018262683237608901e-06
1.740000000000000000e+03 1.961532790723227143e-06
1.800000000000000000e+03 1.905880445027927884e-06
1.860000000000000000e+03 1.846050799624711922e-06
1.920000000000000000e+03 1.775760749489661731e-06
1.980000000000000000e+03 1.689905928555980378e-06
2.040000000000000000e+03 1.620726265529972513e-06
2.100000000000000000e+03 1.578291761947123934e-06
2.160000000000000000e+03 1.535247623986243017e-06
2.220000000000000000e+03 1.482196269012604369e-06
2.280000000000000000e+03 1.431885199020871521e-06
2.340000000000000000e+03 1.391995597765336183e-06
2.400000000000000000e+03 1.370171702512135681e-06
2.460000000000000000e+03 1.360938156538178785e-06
2.520000000000000000e+03 1.347867518969648757e-06
2.580000000000000000e+03 1.327785502955423673e-06
2.640000000000000000e+03 1.305837978093839573e-06
2.700000000000000000e+03 1.283876328087867598e-06
2.760000000000000000e+03 1.262361269390872863e-06
2.820000000000000000e+03 1.233751312649771402e-06
2.880000000000000000e+03 1.190540749647238186e-06
2.940000000000000000e+03 1.136644869955161229e-06
3.000000000000000000e+03 1.080504702377210854e-06
3.060000000000000000e+03 1.029237067568580949e-06
3.120000000000000000e+03 9.935638196927683894e-07
3.180000000000000000e+03 9.684741559458237502e-07
3.240000000000000000e+03 9.328853975981851124e-07
3.300000000000000000e+03 8.878885773173952806e-07
3.360000000000000000e+03 8.513378190809646782e-07
3.420000000000000000e+03 8.244072636054106376e-07
3.480000000000000000e+03 8.024228397908643758e-07
3.540000000000000000e+03 7.873864185611374517e-07
3.600000000000000000e+03 7.734157461194102847e-07
3.660000000000000000e+03 7.532152520473535881e-07
3.720000000000000000e+03 7.326484986582044650e-07
3.780000000000000000e+03 7.161914824248548241e-07
3.840000000000000000e+03 6.953712634088692503e-07
3.900000000000000000e+03 6.657809723378282406e-07
3.960000000000000000e+03 6.396022514872193825e-07
4.020000000000000000e+03 6.207318647904990159e-07
4.080000000000000000e+03 5.987005946966863114e-07
4.140000000000000000e+03 5.701440421943274039e-07
4.200000000000000000e+03 5.398406858038723754e-07
4.260000000000000000e+03 5.109863777339715038e-07
4.320000000000000000e+03 4.880321136765837117e-07
4.380000000000000000e+03 4.726490537684482410e-07
4.440000000000000000e+03 4.681927506103636654e-07
4.500000000000000000e+03 4.756438651520789231e-07
4.560000000000000000e+03 4.814583423826081097e-07
4.620000000000000000e+03 4.755972096474456052e-07
4.680000000000000000e+03 4.625395561666862790e-07
4.740000000000000000e+03 4.498215794611099640e-07
4.800000000000000000e+03 4.411609385602291024e-07
4.860000000000000000e+03 4.311881450772910478e-07
4.920000000000000000e+03 4.123159904928212266e-07
4.980000000000000000e+03 3.880530035726288667e-07
5.040000000000000000e+03 3.685814139789021329e-07
5.100000000000000000e+03 3.528086607338219154e-07
5.160000000000000000e+03 3.343277470219108198e-07
5.220000000000000000e+03 3.155687338741787345e-07
5.280000000000000000e+03 3.063192551497595048e-07
5.340000000000000000e+03 3.090579592157660234e-07
5.400000000000000000e+03 3.164102380989210360e-07
5.460000000000000000e+03 3.241961654005198101e-07
5.520000000000000000e+03 3.247455291296069734e-07
5.580000000000000000e+03 3.112432727910002724e-07
5.640000000000000000e+03 2.906097047372066731e-07
5.700000000000000000e+03 2.727607557609232612e-07
5.760000000000000000e+03 2.633500781228618684e-07
5.820000000000000000e+03 2.577925809566785791e-07
5.880000000000000000e+03 2.444052257032271273e-07
5.940000000000000000e+03 2.233041947859939147e-07
6.000000000000000000e+03 2.073744783326208401e-07
6.060000000000000000e+03 2.009931615236000936e-07
6.120000000000000000e+03 1.986857077768674170e-07
6.180000000000000000e+03 1.984335944743436633e-07
6.240000000000000000e+03 2.030810107788727622e-07
6.300000000000000000e+03 2.126403779612022365e-07
6.360000000000000000e+03 2.184582373756839896e-07
6.420000000000000000e+03 2.138658125637708066e-07
6.480000000000000000e+03 2.035061926458710704e-07
6.540000000000000000e+03 1.940267488638379023e-07
6.600000000000000000e+03 1.855467166700603047e-07
6.660000000000000000e+03 1.773252915128454200e-07
6.720000000000000000e+03 1.735074337258377283e-07
6.780000000000000000e+03 1.714047796781976130e-07
6.840000000000000000e+03 1.584726291161999467e-07
6.900000000000000000e+03 1.341820726115992659e-07
6.960000000000000000e+03 1.148791358769751972e-07
7.020000000000000000e+03 1.081885282862396821e-07
7.080000000000000000e+03 1.099595314057745010e-07
7.140000000000000000e+03 1.154584820784510157e-07
7.200000000000000000e+03 1.204896485495143278e-07
7.260000000000000000e+03 1.257426126817304559e-07
7.320000000000000000e+03 1.328831563710877774e-07
7.380000000000000000e+03 1.395591433948293488e-07
7.440000000000000000e+03 1.376335882647947692e-07
7.500000000000000000e+03 1.243940170624278941e-07
7.560000000000000000e+03 1.188576118029271440e-07
7.620000000000000000e+03 1.285963131146499521e-07
7.680000000000000000e+03 1.334584039799466929e-07
7.740000000000000000e+03 1.265041994217876923e-07
7.800000000000000000e+03 1.166655756907198733e-07
7.860000000000000000e+03 1.062834942179366720e-07
7.920000000000000000e+03 9.991284959461601482e-08
7.980000000000000000e+03 1.021373712783269589e-07
8.040000000000000000e+03 1.142747398807386667e-07
8.100000000000000000e+03 1.332690012563952625e-07
8.160000000000000000e+03 1.452331485478654847e-07
8.220000000000000000e+03 1.460629563612715709e-07
8.280000000000000000e+03 1.416474382134274725e-07
8.340000000000000000e+03 1.320165248160011845e-07
8.400000000000000000e+03 1.197624251279646990e-07
